Algorithm,TotalItems,ItemsValue,ItemsWeight,Quantity,Capacity,Time_ns,Result
greedy,1,501,501,5,1,100,0
greedy,1,501,601,5,1,100,0
greedy,1,601,1,5,1,100,151
greedy,1,601,101,5,1,100,4
greedy,1,601,201,5,1,100,0
greedy,1,601,301,5,1,100,2
greedy,1,601,401,5,1,100,0
greedy,1,601,501,5,1,200,3
greedy,1,601,601,5,1,100,0
greedy,1,1,1,6,1,100,1
greedy,1,1,101,6,1,100,0
greedy,1,1,201,6,1,100,0
greedy,1,1,301,6,1,100,0
greedy,1,1,401,6,1,100,0
greedy,1,1,501,6,1,100,0
greedy,1,1,601,6,1,100,0
greedy,1,101,1,6,1,100,88
greedy,1,101,101,6,1,100,0
greedy,1,101,201,6,1,100,0
greedy,1,101,301,6,1,100,0
greedy,1,101,401,6,1,100,0
greedy,1,101,501,6,1,100,0
greedy,1,101,601,6,1,100,0
greedy,1,201,1,6,1,200,129
greedy,1,201,101,6,1,100,7
greedy,1,201,201,6,1,100,1
greedy,1,201,301,6,1,100,0
greedy,1,201,401,6,1,100,0
greedy,1,201,501,6,1,100,0
greedy,1,201,601,6,1,100,0
greedy,1,301,1,6,1,100,126
greedy,1,301,101,6,1,100,6
greedy,1,301,201,6,1,100,0
greedy,1,301,301,6,1,100,0
greedy,1,301,401,6,1,100,0
greedy,1,301,501,6,1,100,0
greedy,1,301,601,6,1,100,0
greedy,1,401,1,6,1,100,321
greedy,1,401,101,6,1,100,1
greedy,1,401,201,6,1,100,0
greedy,1,401,301,6,1,100,1
greedy,1,401,401,6,1,100,1
greedy,1,401,501,6,1,100,0
greedy,1,401,601,6,1,100,0
greedy,1,501,1,6,1,100,449
greedy,1,501,101,6,1,100,4
greedy,1,501,201,6,1,100,1
greedy,1,501,301,6,1,100,4
greedy,1,501,401,6,1,100,0
greedy,1,501,501,6,1,100,4
greedy,1,501,601,6,1,100,1
greedy,1,601,1,6,1,100,40
greedy,1,601,101,6,1,100,0
greedy,1,601,201,6,1,100,0
greedy,1,601,301,6,1,100,1
greedy,1,601,401,6,1,100,18
greedy,1,601,501,6,1,100,1
greedy,1,601,601,6,1,100,0
greedy,1,1,1,7,1,100,1
greedy,1,1,101,7,1,100,0
greedy,1,1,201,7,1,100,0
greedy,1,1,301,7,1,100,0
greedy,1,1,401,7,1,100,0
greedy,1,1,501,7,1,100,0
greedy,1,1,601,7,1,100,0
greedy,1,101,1,7,1,200,50
greedy,1,101,101,7,1,100,19
greedy,1,101,201,7,1,100,0
greedy,1,101,301,7,1,100,0
greedy,1,101,401,7,1,100,0
greedy,1,101,501,7,1,100,0
greedy,1,101,601,7,1,100,0
greedy,1,201,1,7,1,100,58
greedy,1,201,101,7,1,200,3
greedy,1,201,201,7,1,100,0
greedy,1,201,301,7,1,100,0
greedy,1,201,401,7,1,100,0
