Algorithm,TotalItems,ItemsValue,ItemsWeight,Quantity,Capacity,Time_ns,Result
greedy,1,601,601,7,1,300,0
greedy,1,1,1,1,101,300,1
greedy,1,1,101,1,101,300,1
greedy,1,1,201,1,101,300,1
greedy,1,1,301,1,101,300,0
greedy,1,1,401,1,101,300,0
greedy,1,1,501,1,101,300,0
greedy,1,1,601,1,101,300,0
greedy,1,101,1,1,101,400,4
greedy,1,101,101,1,101,300,33
greedy,1,101,201,1,101,300,51
greedy,1,101,301,1,101,300,0
greedy,1,101,401,1,101,300,0
greedy,1,101,501,1,101,400,0
greedy,1,101,601,1,101,300,0
greedy,1,201,1,1,101,400,14
greedy,1,201,101,1,101,300,51
greedy,1,201,201,1,101,300,0
greedy,1,201,301,1,101,300,0
greedy,1,201,401,1,101,300,15
greedy,1,201,501,1,101,300,121
greedy,1,201,601,1,101,300,0
greedy,1,301,1,1,101,300,278
greedy,1,301,101,1,101,300,247
greedy,1,301,201,1,101,300,155
greedy,1,301,301,1,101,300,201
greedy,1,301,401,1,101,400,0
greedy,1,301,501,1,101,300,0
greedy,1,301,601,1,101,300,0
greedy,1,401,1,1,101,300,92
greedy,1,401,101,1,101,300,394
greedy,1,401,201,1,101,300,0
greedy,1,401,301,1,101,300,156
greedy,1,401,401,1,101,300,0
greedy,1,401,501,1,101,300,152
greedy,1,401,601,1,101,300,0
greedy,1,501,1,1,101,300,239
greedy,1,501,101,1,101,300,1
greedy,1,501,201,1,101,300,0
greedy,1,501,301,1,101,300,140
greedy,1,501,401,1,101,400,0
greedy,1,501,501,1,101,300,0
greedy,1,501,601,1,101,300,0
greedy,1,601,1,1,101,300,270
greedy,1,601,101,1,101,300,73
greedy,1,601,201,1,101,200,0
greedy,1,601,301,1,101,300,0
greedy,1,601,401,1,101,300,0
greedy,1,601,501,1,101,400,11
greedy,1,601,601,1,101,300,0
greedy,1,1,1,2,101,300,1
greedy,1,1,101,2,101,300,1
greedy,1,1,201,2,101,300,0
greedy,1,1,301,2,101,300,0
greedy,1,1,401,2,101,300,1
greedy,1,1,501,2,101,400,0
greedy,1,1,601,2,101,300,0
greedy,1,101,1,2,101,300,40
greedy,1,101,101,2,101,400,45
greedy,1,101,201,2,101,300,0
greedy,1,101,301,2,101,300,0
greedy,1,101,401,2,101,300,0
greedy,1,101,501,2,101,300,0
greedy,1,101,601,2,101,300,0
greedy,1,201,1,2,101,300,155
greedy,1,201,101,2,101,300,199
greedy,1,201,201,2,101,300,0
greedy,1,201,301,2,101,200,0
greedy,1,201,401,2,101,300,0
greedy,1,201,501,2,101,300,0
greedy,1,201,601,2,101,300,0
greedy,1,301,1,2,101,300,69
greedy,1,301,101,2,101,300,147
greedy,1,301,201,2,101,300,134
greedy,1,301,301,2,101,300,84
greedy,1,301,401,2,101,300,171
greedy,1,301,501,2,101,300,0
greedy,1,301,601,2,101,300,164
greedy,1,401,1,2,101,300,293
greedy,1,401,101,2,101,400,302
greedy,1,401,201,2,101,300,0
greedy,1,401,301,2,101,300,0
greedy,1,401,401,2,101,300,0
greedy,1,401,501,2,101,300,0
greedy,1,401,601,2,101,300,0
greedy,1,501,1,2,101,300,392
greedy,1,501,101,2,101,400,50
greedy,1,501,201,2,101,900,413
greedy,1,501,301,2,101,300,476
greedy,1,501,401,2,101,300,0
greedy,1,501,501,2,101,200,387
greedy,1,501,601,2,101,200,0
greedy,1,601,1,2,101,200,381
greedy,1,601,101,2,101,200,235
greedy,1,601,201,2,101,200,53
greedy,1,601,301,2,101,200,0
greedy,1,601,401,2,101,300,280
greedy,1,601,501,2,101,200,0
greedy,1,601,601,2,101,200,155
greedy,1,1,1,3,101,300,1
greedy,1,1,101,3,101,200,1
greedy,1,1,201,3,101,200,1
greedy,1,1,301,3,101,300,1
greedy,1,1,401,3,101,300,0
greedy,1,1,501,3,101,300,0
greedy,1,1,601,3,101,300,0
greedy,1,101,1,3,101,200,2
greedy,1,101,101,3,101,300,18
greedy,1,101,201,3,101,200,0
greedy,1,101,301,3,101,300,8
greedy,1,101,401,3,101,200,0
greedy,1,101,501,3,101,300,0
greedy,1,101,601,3,101,200,0
greedy,1,201,1,3,101,200,110
greedy,1,201,101,3,101,300,149
greedy,1,201,201,3,101,200,0
greedy,1,201,301,3,101,200,0
greedy,1,201,401,3,101,200,100
greedy,1,201,501,3,101,200,0
greedy,1,201,601,3,101,200,0
greedy,1,301,1,3,101,300,142
greedy,1,301,101,3,101,200,281
greedy,1,301,201,3,101,300,0
greedy,1,301,301,3,101,200,0
greedy,1,301,401,3,101,300,0
greedy,1,301,501,3,101,200,0
greedy,1,301,601,3,101,300,0
greedy,1,401,1,3,101,200,36
greedy,1,401,101,3,101,200,235
greedy,1,401,201,3,101,200,30
